PLAYER,GP,FPTS,FPPG
Josh Allen QB  BUF,17,449,26.4
Patrick Mahomes QB  KC,17,412,24.2
Lamar Jackson QB  BAL,17,397,23.4
Justin Herbert QB  LAC,17,395,23.2
Jalen Hurts QB  PHI,17,389,22.9
Tom Brady QB  TB,17,378,22.2
Matthew Stafford QB  LAR,17,366,21.5
Kyler Murray QB  ARI,17,362,21.3
Aaron Rodgers QB  GB,17,354,20.8
Kirk Cousins QB  MIN,17,345,20.3
Russell Wilson QB  DEN,17,344,20.2
Dak Prescott QB  DAL,17,341,20.1
Joe Burrow QB  CIN,17,335,19.7
Trey Lance QB  SF,17,329,19.4
Derek Carr QB  LV,17,317,18.6
Trevor Lawrence QB  JAC,17,304,17.9
Ryan Tannehill QB  TEN,17,303,17.8
Matt Ryan QB  IND,17,297,17.5
Jameis Winston QB  NO,17,297,17.5
Tua Tagovailoa QB  MIA,17,289,17
Justin Fields QB  CHI,17,266,15.6
Jared Goff QB  DET,17,261,15.4
Daniel Jones QB  NYG,17,251,14.8
Carson Wentz QB  WAS,17,244,14.4
Marcus Mariota QB  ATL,17,244,14.4
Mac Jones QB  NE,17,242,14.2
Zach Wilson QB  NYJ,17,237,13.9
Baker Mayfield QB  CAR,17,234,13.8
Davis Mills QB  HOU,17,222,13.1
Geno Smith QB  SEA,17,190,11.2
Jacoby Brissett QB  CLE,17,173,10.2
Mitchell Trubisky QB  PIT,17,167,9.8
Deshaun Watson QB  CLE,6,142,23.7
Kenny Pickett QB  PIT,17,104,6.1
Drew Lock QB  SEA,17,15,0.9
Joe Flacco QB  NYJ,17,15,0.9
Case Keenum QB  BUF,17,12,0.7
Joshua Dobbs QB  CLE,17,9,0.5
Josh Johnson QB  DEN,17,9,0.5
Jordan Love QB  GB,17,9,0.5
Andy Dalton QB  NO,17,9,0.5
Kyle Trask QB  TB,17,8,0.5
Kellen Mond QB  MIN,17,8,0.5
John Wolford QB  LAR,17,7,0.4
Tim Boyle QB  DET,17,7,0.4
Tyrod Taylor QB  NYG,17,7,0.4
Taylor Heinicke QB  WAS,17,7,0.4
Sam Darnold QB  CAR,16,7,0.4
Gardner Minshew QB  PHI,17,7,0.4
Sean Mannion QB  MIN,17,7,0.4
Jimmy Garoppolo QB  SF,17,7,0.4
Tyler Huntley QB  BAL,17,7,0.4
Teddy Bridgewater QB  MIA,17,7,0.4
Nick Foles QB  IND,17,7,0.4
Desmond Ridder QB  ATL,17,6,0.4
C.J. Beathard QB  JAC,17,6,0.4
Nathan Peterman QB  CHI,17,6,0.4
Brian Hoyer QB  NE,17,6,0.4
Trevor Siemian QB  CHI,17,6,0.4
Mike White QB  NYJ,17,6,0.4
Jarrett Stidham QB  LV,17,6,0.4
Malik Willis QB  TEN,17,6,0.4
Chad Henne QB  KC,17,6,0.4
Cooper Rush QB  DAL,17,6,0.4
Mason Rudolph QB  PIT,17,6,0.4
Brandon Allen QB  CIN,17,6,0.4
Chase Daniel QB  LAC,17,6,0.4
Colt McCoy QB  ARI,17,6,0.4
Kyle Allen QB  HOU,17,4,0.2
P.J. Walker QB  CAR,1,0,0
Jonathan Taylor RB  IND,17,295,17.4
Austin Ekeler RB  LAC,17,254,14.9
Derrick Henry RB  TEN,17,250,14.7
Najee Harris RB  PIT,17,212,12.5
Joe Mixon RB  CIN,17,211,12.4
Dalvin Cook RB  MIN,17,207,12.2
Christian McCaffrey RB  CAR,17,204,12
Alvin Kamara RB  NO,17,196,11.5
Leonard Fournette RB  TB,17,188,11.1
Nick Chubb RB  CLE,17,184,10.8
James Conner RB  ARI,17,183,10.8
Aaron Jones RB  GB,17,180,10.6
Javonte Williams RB  DEN,17,179,10.5
Saquon Barkley RB  NYG,17,173,10.2
J.K. Dobbins RB  BAL,17,170,10
D'Andre Swift RB  DET,17,167,9.8
David Montgomery RB  CHI,17,164,9.6
Josh Jacobs RB  LV,17,158,9.3
Damien Harris RB  NE,17,150,8.8
Breece Hall RB  NYJ,17,149,8.8
Ezekiel Elliott RB  DAL,17,144,8.5
Cam Akers RB  LAR,17,142,8.4
Dameon Pierce RB  HOU,17,141,8.3
Elijah Mitchell RB  SF,17,139,8.2
Miles Sanders RB  PHI,17,136,8
Travis Etienne RB  JAC,17,136,8
A.J. Dillon RB  GB,17,134,7.9
Cordarrelle Patterson RB  ATL,17,134,7.9
Devin Singletary RB  BUF,17,134,7.9
Rashaad Penny RB  SEA,17,133,7.8
Tony Pollard RB  DAL,17,133,7.8
Clyde Edwards-Helaire RB  KC,17,131,7.7
Kareem Hunt RB  CLE,17,129,7.6
Melvin Gordon RB  DEN,17,127,7.5
Antonio Gibson RB  WAS,17,124,7.3
Chase Edmonds RB  MIA,17,122,7.2
Rhamondre Stevenson RB  NE,17,120,7.1
Brian Robinson Jr. RB  WAS,17,118,6.9
James Robinson RB  JAC,17,114,6.7
Kenneth Walker III RB  SEA,17,113,6.6
Kenneth Gainwell RB  PHI,17,107,6.3
Tyler Allgeier RB  ATL,17,107,6.3
James Cook RB  BUF,17,104,6.1
Michael Carter RB  NYJ,17,94,5.5
Darrel Williams RB  ARI,17,92,5.4
Darrell Henderson RB  LAR,17,92,5.4
Zamir White RB  LV,17,91,5.4
Nyheim Hines RB  IND,17,90,5.3
Raheem Mostert RB  MIA,17,87,5.1
Jamaal Williams RB  DET,17,85,5
Damien Williams RB  ATL,17,83,4.9
J.D. McKissic RB  WAS,17,82,4.8
Isiah Pacheco RB  KC,17,82,4.8
Rachaad White RB  TB,17,81,4.8
Mark Ingram RB  NO,17,80,4.7
Alexander Mattison RB  MIN,17,79,4.6
Hassan Haskins RB  TEN,17,77,4.5
Duke Johnson RB  BUF,17,72,4.2
Marlon Mack RB  HOU,17,70,4.1
Khalil Herbert RB  CHI,17,68,4
D'Onta Foreman RB  CAR,17,65,3.8
Tyrion Davis-Price RB  SF,17,65,3.8
Isaiah Spiller RB  LAC,17,60,3.5
Gus Edwards RB  BAL,13,58,4.5
Matt Breida RB  NYG,17,57,3.4
Dontrell Hilliard RB  TEN,17,56,3.3
Samaje Perine RB  CIN,17,55,3.2
Brandon Bolden RB  LV,17,54,3.2
Jerick McKinnon RB  KC,17,53,3.1
Jeff Wilson RB  SF,17,52,3.1
Chuba Hubbard RB  CAR,17,49,2.9
Craig Reynolds RB  DET,17,49,2.9
Sony Michel RB  MIA,17,48,2.8
Rex Burkhead RB  HOU,17,46,2.7
Joshua Kelley RB  LAC,17,37,2.2
Ke'Shawn Vaughn RB  TB,17,32,1.9
Ronald Jones RB  KC,17,32,1.9
Kyle Juszczyk FB  SF,17,32,1.9
Ameer Abdullah RB  LV,17,30,1.8
Boston Scott RB  PHI,17,29,1.7
Mike Davis RB  BAL,17,26,1.5
Jermar Jefferson RB  DET,17,25,1.5
Johnny Stanton RB  CLE,17,25,1.5
Mike Boone RB  DEN,17,24,1.4
Tevin Coleman RB  NYJ,17,23,1.4
Demetric Felton RB  CLE,17,21,1.2
Travis Homer RB  SEA,17,21,1.2
Tyler Badie RB  BAL,17,19,1.1
Tory Carter FB  TEN,17,19,1.1
Patrick Ricard FB  BAL,17,18,1.1
Ty'Son Williams RB  IND,17,17,1
D'Ernest Johnson RB  CLE,17,17,1
J.J. Taylor RB  NE,17,16,0.9
Benny Snell RB  PIT,17,16,0.9
Phillip Lindsay RB  IND,17,16,0.9
Jerome Ford RB  CLE,17,14,0.8
Justin Jackson RB  DET,17,14,0.8
Keaontay Ingram RB  ARI,17,13,0.8
Kevin Harris RB  NE,17,13,0.8
Antonio Williams RB  NYG,17,13,0.8
Cooper Kupp WR  LAR,17,252,14.8
Justin Jefferson WR  MIN,17,206,12.1
Ja'Marr Chase WR  CIN,17,194,11.4
Davante Adams WR  LV,17,189,11.1
Deebo Samuel WR  SF,17,186,10.9
Stefon Diggs WR  BUF,17,184,10.8
Mike Evans WR  TB,17,165,9.7
CeeDee Lamb WR  DAL,17,164,9.6
Tee Higgins WR  CIN,17,155,9.1
Keenan Allen WR  LAC,17,154,9.1
Mike Williams WR  LAC,17,153,9
A.J. Brown WR  PHI,17,153,9
D.J. Moore WR  CAR,17,149,8.8
Tyreek Hill WR  MIA,17,149,8.8
Michael Pittman WR  IND,17,148,8.7
Allen Robinson WR  LAR,17,146,8.6
Jaylen Waddle WR  MIA,17,146,8.6
Chris Godwin WR  TB,17,145,8.5
Terry McLaurin WR  WAS,17,137,8.1
Brandin Cooks WR  HOU,17,136,8
Diontae Johnson WR  PIT,17,136,8
Marquise Brown WR  ARI,17,135,7.9
DK Metcalf WR  SEA,17,135,7.9
Gabriel Davis WR  BUF,17,135,7.9
Michael Thomas WR  NO,17,134,7.9
Courtland Sutton WR  DEN,17,132,7.8
Rashod Bateman WR  BAL,17,128,7.5
Jerry Jeudy WR  DEN,17,126,7.4
DeVonta Smith WR  PHI,17,126,7.4
Adam Thielen WR  MIN,17,125,7.4
Darnell Mooney WR  CHI,17,122,7.2
Elijah Moore WR  NYJ,17,122,7.2
JuJu Smith-Schuster WR  KC,17,121,7.1
Amari Cooper WR  CLE,17,120,7.1
Allen Lazard WR  GB,17,119,7
Christian Kirk WR  JAC,17,118,6.9
Tyler Lockett WR  SEA,17,117,6.9
Robert Woods WR  TEN,17,116,6.8
Hunter Renfrow WR  LV,17,113,6.6
Amon-Ra St. Brown WR  DET,17,111,6.5
Marvin Jones WR  JAC,17,110,6.5
Drake London WR  ATL,17,110,6.5
Brandon Aiyuk WR  SF,17,109,6.4
DeVante Parker WR  NE,17,108,6.4
Treylon Burks WR  TEN,17,106,6.2
George Pickens WR  PIT,17,104,6.1
DeAndre Hopkins WR  ARI,11,104,9.5
Kenny Golladay WR  NYG,17,103,6.1
K.J. Osborn WR  MIN,17,103,6.1
Donovan Peoples-Jones WR  CLE,17,102,6
Sterling Shepard WR  NYG,17,101,5.9
Chase Claypool WR  PIT,17,101,5.9
Marquez Valdes-Scantling WR  KC,17,100,5.9
Garrett Wilson WR  NYJ,17,100,5.9
Michael Gallup WR  DAL,16,99,6.2
Robbie Anderson WR  CAR,17,99,5.8
Nico Collins WR  HOU,17,99,5.8
Russell Gage WR  TB,17,98,5.8
Kadarius Toney WR  NYG,17,98,5.8
Jakobi Meyers WR  NE,17,97,5.7
Tyler Boyd WR  CIN,17,96,5.6
Chris Olave WR  NO,17,96,5.6
Jahan Dotson WR  WAS,17,95,5.6
Skyy Moore WR  KC,17,93,5.5
Corey Davis WR  NYJ,17,92,5.4
Julio Jones WR  TB,17,91,5.4
Kendrick Bourne WR  NE,17,90,5.3
Jalen Tolbert WR  DAL,17,89,5.2
Jarvis Landry WR  NO,17,87,5.1
Marquez Callaway WR  NO,17,86,5.1
Mecole Hardman WR  KC,17,86,5.1
Braxton Berrios WR  NYJ,17,84,4.9
D.J. Chark WR  DET,17,82,4.8
Rondale Moore WR  ARI,17,82,4.8
Christian Watson WR  GB,17,81,4.8
Darius Slayton WR  NYG,17,81,4.8
Keelan Cole WR  LV,17,79,4.6
Randall Cobb WR  GB,17,78,4.6
Van Jefferson WR  LAR,17,77,4.5
Nick Westbrook WR  TEN,17,74,4.4
Ced Wilson WR  MIA,17,74,4.4
Laviska Shenault Jr. WR  JAC,17,73,4.3
Sammy Watkins WR  GB,17,72,4.2
Romeo Doubs WR  GB,17,70,4.1
Nelson Agholor WR  NE,17,70,4.1
Quintez Cephus WR  DET,17,68,4
Bryan Edwards WR  ATL,17,68,4
Olamide Zaccheaus WR  ATL,17,65,3.8
David Bell WR  CLE,17,65,3.8
A.J. Green WR  ARI,17,65,3.8
Isaiah McKenzie WR  BUF,17,64,3.8
Curtis Samuel WR  WAS,17,62,3.6
Laquon Treadwell WR  JAC,17,62,3.6
Zay Jones WR  JAC,17,60,3.5
James Washington WR  DAL,15,60,4
Jamison Crowder WR  BUF,17,60,3.5
K.J. Hamler WR  DEN,17,58,3.4
Jalen Guyton WR  LAC,17,58,3.4
Parris Campbell WR  IND,17,57,3.4
Kalif Raymond WR  DET,17,56,3.3
Travis Kelce TE  KC,17,198,11.6
Mark Andrews TE  BAL,17,175,10.3
Kyle Pitts TE  ATL,17,128,7.5
Darren Waller TE  LV,17,117,6.9
George Kittle TE  SF,17,116,6.8
Dallas Goedert TE  PHI,17,115,6.8
Dalton Schultz TE  DAL,17,110,6.5
Mike Gesicki TE  MIA,17,97,5.7
Zach Ertz TE  ARI,17,97,5.7
T.J. Hockenson TE  DET,17,90,5.3
Dawson Knox TE  BUF,17,88,5.2
Pat Freiermuth TE  PIT,17,87,5.1
Cole Kmet TE  CHI,17,85,5
Austin Hooper TE  TEN,17,83,4.9
Irv Smith TE  MIN,17,83,4.9
David Njoku TE  CLE,17,82,4.8
Gerald Everett TE  LAC,17,82,4.8
Hunter Henry TE  NE,17,82,4.8
Evan Engram TE  JAC,17,78,4.6
Tyler Higbee TE  LAR,17,78,4.6
Noah Fant TE  SEA,17,77,4.5
Isaiah Likely TE  BAL,17,74,4.4
Logan Thomas TE  WAS,17,73,4.3
Albert Okwuegbunam TE  DEN,17,70,4.1
Robert Tonyan TE  GB,17,68,4
Foster Moreau TE  LV,17,66,3.9
Kyle Rudolph TE  TB,17,62,3.6
Hayden Hurst TE  CIN,17,61,3.6
Harrison Bryant TE  CLE,17,57,3.4
Taysom Hill TE  NO,17,55,3.2
Brevin Jordan TE  HOU,17,54,3.2
Mo Alie-Cox TE  IND,17,53,3.1
Cameron Brate TE  TB,17,53,3.1
C.J. Uzomah TE  NYJ,17,53,3.1
Jelani Woods TE  IND,17,52,3.1
Jonnu Smith TE  NE,17,49,2.9
Tyler Conklin TE  NYJ,17,48,2.8
Daniel Bellinger TE  NYG,17,46,2.7
Geoff Swaim TE  TEN,17,45,2.6
Maxx Williams TE  ARI,17,44,2.6
John Bates TE  WAS,17,44,2.6
Cade Otton TE  TB,17,43,2.5
Trey McBride TE  ARI,17,43,2.5
Adam Trautman TE  NO,17,43,2.5
James O'Shaughnessy TE  CHI,17,39,2.3
Brock Wright TE  DET,17,34,2
Anthony Firkser TE  ATL,17,34,2
Tommy Tremble TE  CAR,17,34,2
Paul Quessenberry FB  HOU,17,34,2
Donald Parham TE  LAC,17,33,1.9
O.J. Howard TE  BUF,17,31,1.8
Dan Arnold TE  JAC,17,26,1.5
Marcedes Lewis TE  GB,17,26,1.5
Will Dissly TE  SEA,17,25,1.5
Ryan Griffin TE  CHI,17,24,1.4
Durham Smythe TE  MIA,17,24,1.4
Pharaoh Brown TE  HOU,17,20,1.2
Ian Thomas TE  CAR,17,19,1.1
Chris Manhertz TE  JAC,17,18,1.1
MyCole Pruitt TE  ATL,17,17,1
Tyler Kroft TE  SF,17,16,0.9
Juwan Johnson TE  NO,17,16,0.9
Devin Asiasi TE  NE,17,12,0.7
Matt Bushman TE  KC,17,12,0.7
Ko Kieft TE  TB,17,12,0.7
Blake Bell TE  KC,15,12,0.8
Brycen Hopkins TE  LAR,17,12,0.7
Kenny Yeboah TE  NYJ,17,11,0.6
Jacob Harris TE  LAR,17,11,0.6
Nick Boyle TE  BAL,17,11,0.6
Nick Muse TE  MIN,17,11,0.6
Stephen Anderson TE  ARI,17,11,0.6
Jake Ferguson TE  DAL,17,11,0.6
Jody Fortson TE  KC,17,11,0.6
Greg Dulcich TE  DEN,17,11,0.6
Nick Eubanks TE  CIN,17,11,0.6
Alize Mack TE  GB,17,10,0.6
Charlie Kolar TE  BAL,17,10,0.6
Josh Oliver TE  BAL,17,10,0.6
Drew Sample TE  CIN,17,10,0.6
Antony Auclair TE  HOU,17,10,0.6
Charlie Woerner TE  SF,17,10,0.6
James Mitchell TE  DET,17,10,0.6
Noah Gray TE  KC,17,10,0.6
Luke Farrell TE  JAC,17,10,0.6
Kendall Blanton TE  WAS,17,10,0.6
Jeremy Ruckert TE  NYJ,17,10,0.6
Ben Ellefson TE  MIN,17,10,0.6
Jacob Hollister TE  LV,17,10,0.6
Zach Gentry TE  PIT,17,10,0.6
Mason Schreck TE  HOU,17,10,0.6
Tre' McKitty TE  LAC,17,10,0.6
Tommy Sweeney TE  BUF,17,10,0.6
Chigoziem Okonkwo TE  TEN,17,10,0.6
John FitzPatrick TE  ATL,17,10,0.6
Cole Turner TE  WAS,17,10,0.6
Tommy Hudson TE  TEN,17,10,0.6
Teagan Quitoriano TE  HOU,17,10,0.6
Nakia Griffin-Stewart TE  CLE,17,10,0.6
Matt Sokol TE  NE,17,10,0.6
Tyler Bass K  BUF,17,146,8.6
Justin Tucker K  BAL,17,139,8.2
Rodrigo Blankenship K  IND,17,138,8.1
Evan McPherson K  CIN,17,137,8.1
Harrison Butker K  KC,17,136,8
Daniel Carlson K  LV,17,134,7.9
Matt Gay K  LAR,17,134,7.9
Greg Joseph K  MIN,17,133,7.8
Ryan Succop K  TB,17,131,7.7
Dustin Hopkins K  LAC,17,130,7.6
Jake Elliott K  PHI,17,129,7.6
Brett Maher K  DAL,17,129,7.6
Robbie Gould K  SF,17,127,7.5
Matt Prater K  ARI,17,127,7.5
Younghoe Koo K  ATL,17,126,7.4
Mason Crosby K  GB,17,125,7.4
Brandon McManus K  DEN,17,124,7.3
Jason Sanders K  MIA,17,124,7.3
Randy Bullock K  TEN,17,124,7.3
Nick Folk K  NE,17,122,7.2
Chris Boswell K  PIT,17,121,7.1
Wil Lutz K  NO,17,117,6.9
Cairo Santos K  CHI,17,113,6.6
Graham Gano K  NYG,17,112,6.6
Austin Seibert K  DET,17,108,6.4
Joey Slye K  WAS,17,106,6.2
James McCourt K  JAC,17,103,6.1
Cade York K  CLE,17,99,5.8
Greg Zuerlein K  NYJ,17,95,5.6
Ka'imi Fairbairn K  HOU,17,92,5.4
Zane Gonzalez K  CAR,13,86,6.6
Jason Myers K  SEA,17,86,5.1
Buffalo,696,238.2,14
San Francisco,721,194.4,11.4
New Orleans,721,191.4,11.3
Green Bay,712,188.8,11.1
Cleveland,707,184.6,10.9
Indianapolis,721,184.4,10.8
L.A. Rams,720,182.6,10.7
Baltimore,675,171.4,10.1
Pittsburgh,703,162,9.5
Dallas,690,159.2,9.4
Minnesota,713,159.1,9.4
Tampa Bay,735,157,9.2
L.A. Chargers,715,155.8,9.2
Miami,660,155.8,9.2
Arizona,726,154.1,9.1
Chicago,733,154,9.1
Cincinnati,749,147.9,8.7
Kansas City,731,147.5,8.7
Washington,742,147.3,8.7
Denver,707,146.6,8.6
Carolina,724,145,8.5
New England,723,142.5,8.4
Tennessee,692,140.7,8.3
N.Y. Jets,751,140.1,8.2
Houston,749,139,8.2
Detroit,721,136.6,8
N.Y. Giants,721,135.9,8
Jacksonville,748,134.5,7.9
Las Vegas,738,132.1,7.8
Philadelphia,751,124.5,7.3
Seattle,729,113.4,6.7
Atlanta,733,109,6.4
